Name,Astronaut Year,Group,Status,Birth Year,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Occupation Field,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
William B. Lenoir,1967,6,Deceased,1939,3/14/39,"Miami, FL",Male,MIT,Electrical Engineering,Electrical Engineering,Civilian,,,1,122,0,0,STS-5 (Columbia),41147,
Manley Lanier Carter Jr. ,1984,10,Deceased,1947,8/15/47,"Macon, GA",Male,Emory University,Chemistry,Medicine,Military,Captain,US Navy,1,120,0,0,STS-33 (Discovery),33333,
Donald H. Peterson,1969,7,Retired,1933,10/22/33,"Winona, MS",Male,US Military Academy; US Air Force Institute of Technology,,Nuclear Engineering,Military,Colonel,US Air Force (Retired),1,120,1,4,STS-6 (Challenger),,
Michael J. McCulley,1984,10,Retired,1943,8/4/43,"San Diego, CA",Male,Purdue University,Metallurgical Engineering,Metallurgical Engineering,Military,Captain,US Navy (Retired),1,119,0,0,STS-34 (Atlantis),,
William A. Pailes,,,Retired,1952,6/26/52,"Hackensack, NJ",Male,US Air Force Academy; Texas A&M University,Computer Science,Computer Science,Military,Colonel,US Air Force (Retired),1,97,0,0,STS 51-J (Atlantis),,
Edward H. White II ,1962,2,Deceased,1930,11/14/30,"San Antonio, TX",Male,US Military Academy; University of Michigan,,Aeronautical Engineering,Military,Lieutenant Colonel,US Air Force,2,97,1,0.5,"Gemini 4, Apollo 1",24499,Apollo 1
Ellison S. Onizuka,1978,8,Deceased,1946,6/24/46,"Kealakekua, HI",Male,University of Colorado,Aerospace Engineering,Aerospace Engineering,Military,Lieutenant Colonel,US Air Force,2,73,0,0,"STS 51-C (Discovery), STS 51-L (Challenger)",31440,STS 51-L (Challenger)
Gary E. Payton,,,Retired,1948,6/20/48,"Rock Island, IL",Male,US Air Force Academy; Purdue University,Astronautical Engineering,Astronautical & Aeronautical Engineering,Military,Major,US Air Force,1,73,0,0,STS 51-C (Discovery),,
Virgil I. Grissom,1959,1,Deceased,1926,4/3/26,"Mitchell, IN",Male,Purdue University,Mechanical Engineering,,Military,Lieutenant Colonel,US Air Force,2,5,0,0,"Mercury 4, Gemini 3, Apollo 1",24499,Apollo 1
M. Scott Carpenter,1959,1,Retired,1925,5/1/25,"Boulder, CO",Male,University of Colorado,Aeronautical Engineering,,Military,Commander,US Navy (Retired),1,4,0,0,Mercury 7,,
Scott D. Tingle,2009,20,Active,1965,7/19/65,"Attleboro, MA",Male,Southeastern Massachusetts University; Purdue University,Mechanical Engineering,Mechanical Engineering,Military,Commander,US Navy,0,0,0,0,,,
Michael J. Smith,1980,9,Deceased,1945,4/30/45,"Beaufort, NC",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Aeronautical Engineering,Military,Captain,US Navy,1,0,0,0,STS 51-L (Challenger),31440,STS 51-L (Challenger)
Christopher J. Loria,1996,16,Retired,1960,7/9/60,"Belmont, MA",Male,US Naval Academy; Harvard University,Engineering,Public Administration,Military,Colonel,US Marine Corps (Retired),0,0,0,0,,,
S. Christa McAuliffe,,,Deceased,1948,9/2/48,"Boston, MA",Female,Framingham State College; Bowie State College,Education,Education,Civilian,,,1,0,0,0,STS 51-L (Challenger),31440,STS 51-L (Challenger)
Brian T. O'Leary,1967,6,Deceased,1940,1/27/40,"Boston, MA",Male,Williams College; Georgetown University; University of California-Berkeley,Physics,Astronomy,Civilian,,,0,0,0,0,,40752,
Fernando Caldeiro,1996,16,Deceased,1958,6/12/58,"Buenos Aires, Argentina",Male,University of Arizona; University of Central Florida,Mechanical Engineering,Engineering Management,Civilian,,,0,0,0,0,,40089,
John A. Llewellyn,1967,6,Retired,1933,4/22/33,"Cardiff, Wales",Male,University College at Cardiff,Chemistry,Chemistry,Civilian,,,0,0,0,0,,,
Neil W. Woodward III ,1998,17,Retired,1962,7/26/62,"Chicago, IL",Male,MIT; University of Texas-Austin; George Washington University,Physics,Physics; Business Management,Military,Commander,US Navy,0,0,0,0,,,
Donald L. Holmquest,1967,6,Retired,1939,4/7/39,"Dallas, TX",Male,Southern Methodist University; Baylor University; University of Houston,Electrical Engineering,Physiology; Medicine; Law,Civilian,,,0,0,0,0,,,
Elliot M. See Jr. ,1962,2,Deceased,1927,7/23/27,"Dallas, TX",Male,US Merchant Marine Academy; University of California-Los Angeles,,Engineering,Civilian,,,0,0,0,0,,24166,
Charles A. Bassett II ,1963,3,Deceased,1931,12/30/31,"Dayton, OH",Male,Texas Technological College,Electrical Engineering,,Military,Captain,US Air Force,0,0,0,0,,24166,
Gregory B. Jarvis,,,Deceased,1944,8/24/44,"Detroit, MI",Male,State University of New York at Buffalo; Northeastern University,Electrical Engineering,Electrical Engineering,Civilian,,,1,0,0,0,STS 51-L (Challenger),31440,STS 51-L (Challenger)
Mark T. Vande Hei,2009,20,Active,1966,11/10/66,"Falls Church, VA",Male,Saint John’s University; Stanford University,Physics,Applied Physics,Military,Colonel,US Army,0,0,0,0,,,
Stephen D. Thorne,1985,11,Deceased,1953,2/11/53,"Frankfurt, West Germany",Male,US Naval Academy,Engineering,,Military,Lieutenant Commander,US Navy,0,0,0,0,,31556,
Roger B. Chaffee,1963,3,Deceased,1935,2/15/35,"Grand Rapids, MI",Male,Purdue University,Aeronautical Engineering,,Military,Lieutenant Commander,US Navy,1,0,0,0,Apollo 1,24499,Apollo 1
Theodore C. Freeman,1963,3,Deceased,1930,2/18/30,"Haversford, PA",Male,US Naval Academy; University of Michigan,,Aeronautical Engineering,Military,Captain,US Air Force,0,0,0,0,,23681,
Patricia Hilliard Robertson,1998,17,Deceased,1963,3/12/63,"Indiana, PA",Female,Indiana University of Pennsylvania; Medical College of Pennsylvania,Biology,Medicine,Civilian,,,0,0,0,0,,37035,
Serena M. Aunon,2009,20,Active,1976,4/9/76,"Indianapolis, IN",Female,George Washington University; University of Texas,Electrical Engineering,Medicine,Civilian,,,0,0,0,0,,,
F. Curtis Michel,1965,4,Retired,1934,6/5/34,"LaCrosse, WI",Male,California Institute of Technology,Physics,Physics,Civilian,,,0,0,0,0,,,
Jack D. Fischer,2009,20,Active,1974,1/23/74,"Louisville, CO",Male,US Air Force Academy; MIT,Astronautical Engineering,Aeronautics & Astronautics,Civilian,,,0,0,0,0,,,
Philip K. Chapman,1967,6,Retired,1935,3/5/35,"Melbourne, Australia",Male,University of Sydney; MIT,Physics & Mathematics,Aeronautics & Astronautics; Instrumentation,Civilian,,,0,0,0,0,,,
John S. Bull,1966,5,Deceased,1934,9/25/34,"Memphis, TN",Male,Rice University; Stanford University,Mechanical Engineering,Aeronautical Engineering,Civilian,,,0,0,0,0,,39671,
Clifton C. Williams Jr. ,1963,3,Deceased,1932,9/26/32,"Mobile, AL",Male,Auburn University,Mechanical Engineering,,Military,Major,US Marine Corps,0,0,0,0,,24750,
Duane E. Graveline,1965,4,Retired,1931,3/2/31,"Newport, VT",Male,University of Vermont; Johns Hopkins University,,Public Health; Medicine,Civilian,,,0,0,0,0,,,
Edward G. Givens Jr. ,1966,5,Deceased,1930,1/5/30,"Quanah, TX",Male,US Naval Academy,Naval Sciences,,Military,Major,US Air Force,0,0,0,0,,24629,
Jeanette J. Epps,2009,20,Active,1970,11/3/70,"Syracuse, NY",Female,LeMoyne College; University of Maryland,Physics,Aerospace Engineering,Civilian,,,0,0,0,0,,,
Yvonne D. Cagle,1996,16,Management,1959,4/24/59,"West Point, NY",Female,San Francisco State University,Biochemistry,,Military,Colonel,US Air Force,0,0,0,0,,,
